ssdl:pid,ssdl:notation,ssdl:placeOfPublication,ssdl:spatialCoverageGettyUri,ssdl:dateOfPublication,ssdl:shortTitle
1889-Missio-EMU,Round,"Cincinnati, OH;Chicago, IL;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7007567,,The Missionary Triumph
1889-Newvoi-EMU,Round,"Dalton, GA",http://vocab.getty.edu/page/tgn/2022620,1889,The New Voice of Praise
1889-Ourhym-EMU,Nil,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1889,Our Hymns and their Authors
1889-Sacred-EMU,Round,"Andersonville, TN",http://vocab.getty.edu/page/tgn/2097732,1889,"Sacred Melodies, Revised"
1889-Songge-EMU,Seven-shape Aikin,"Temple, TX",http://vocab.getty.edu/page/tgn/2107977,1889,The Song Gem
1889-Window-EMU,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1889,Windows of Heaven
188x-Songso-EMU,Round,"Washington, D. C.; South Bend, Ind.; New York, N. Y.",http://vocab.getty.edu/page/tgn/7015717;http://vocab.getty.edu/page/tgn/7014320;http://vocab.getty.edu/page/tgn/7007567,,Songs of the Message
1890-Christ-EMU,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1890,Christian Work Songs
1890-Mornin-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7007567,1890,Morning Stars
1890-Pureso-EMU,Round,"Macon, GA;Nashville, TN;St. Louis, MO",http://vocab.getty.edu/page/tgn/7013980;http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/7014444,1890,Pure Songs
1892-Reviva-EMU,Round,"Atlanta, GA",http://vocab.getty.edu/page/tgn/7013331,1890,The Revival
1890-YMCAgo-EMU,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1890,YMCA Gospel Songs
1891-Bright-EMU,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1891,Bright Blossoms
1891-Select-EMU,Nil,"Wilmington, DL",http://vocab.getty.edu/page/tgn/7014632,1891,Selected Hymns for Social Worship
1891-Servic-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1891,Service in Song
