PID,ssdl:notation,location,Date,Long,Lati
1914-CrownH-EMU,Seven-shape Aikin,"Dayton, Virginia",1914,-78.9333,38.4
1914-Downat-EMU,Seven-shape Aikin,"Charlotte, NC",1914,-80.8333,35.2167
1914-Hymnso-EMU,Seven-shape Aikin,"Atlanta, GA",1914,-84.3833,33.7333
1914-Immanu-EMU,Round,"New York, NY; Chicago, IL; Toronto, Canada; London, United Kingdom; Edinburgh, United Kingdom",1914,-74;-87.65;-79.4167;-.093145;-3.2,40.7;41.85;43.7;51.514248;55.95
1914-Newsac-EMU,Seven-shape Aikin,"Dayton, VA",1914,-78.9333,38.4
1914-Onehun-EMU,,"St. Louis, MO",1914,-90.1833,38.6167
1914-Praise-EMU,Seven-shape Aikin,"Nashville, TN",1914,-86.761,36.154
1915-Crowns-EMU,Seven-shape Aikin,"Nashville, TN; Dallas, TX; Richmond, VA",1915,-86.761;-96.8;-77.45,36.154;32.7833;37.55
1915-Gospel-EMU,,"St. Louis, MO; Indianapolis, IN",19xx,-90.1833;-86.15,38.6167;39.7667
1915-Herald-EMU,Round,"Dallas, TX",1915,-96.8,32.7833
1915-Praise-EMU,Round,"Cincinnati, OH",1915,-84.45,39.15
1915-Select-EMU,,"Carlisle, PA",1915,-77.1833,40.2
1915-Songs1-EMU,,"New York, NY",1915,-74,40.7
1915-Songs2-EMU,,"Dayton, VA",1915,-78.9333,38.4
1915-Songs3-EMU,,"Washington, D. C.; South Bend, Ind.; New York, N. Y.",1915,-77;-86.25;-74,38.8333;41.6833;40.7
1915-Sparkl-EMU,,"Dayton, VA",1915,-78.9333,38.4
1916-Childs-EMU,,"Dayton, VA",1916,-78.9333,38.4
1916-Happyg-EMU,,"Charlotte, NC",nan,-80.8333,35.2167
1916-Hispra-EMU,Round,"Atlanta, GA",1916,-84.3833,33.7333
1916-Montre-EMU,Round,"New York, NY",1916,-74,40.7
1916-Newhar-EMU,Seven-shape Swan,"Nashville, TN; Dallas, TX; Richmond, VA;",1916,-86.761;-96.8;-77.45,36.154;32.7833;37.55
1916-Select-EMU,Round,"Dallas, TX",1916,-96.8,32.7833
1916-Songso-EMU,Round;Seven-shape Aikin,"Chicago, IL",1916,-87.65,41.85
1916-Treasu-EMU,Round,"Hagerstown, MD;New York, NY",1916,-77.7167;-74,39.6333;40.7
1917-Evange-EMU,Round,"St. Louis, MO;Chicago, IL",1917,-90.1833;-87.65,38.6167;41.85
1917-Hymnar-EMU,,"New York, NY;Cincinnati, OH",1917,-74;-84.45,40.7;39.15
1917-Lifean-EMU,Round,"Richmond, VA",1917,-76.7333,37.95
1917-Missio-EMU,Nil,"Saint Louis, MO",1917,-90.1833,38.6167
1917-Select-EMU,Round;Seven-shape Aikin,"Chicago, IL; Los Angeles, CA",1917,-87.65;-118.2333,41.85;34.05
1917-Songso-EMU,Round,"New York, NY; Cincinnati, OH",1917,-74;-84.45,40.7;39.15
1917-Treasu-EMU,Seven-shape Aikin,"Dallas, TX",1917,-96.8,32.7833
1917-Wonder-EMU,Seven-shape Aikin,"Cincinnati, OH",1917,-84.45,39.15
1918-Echoes-EMU,Round;Seven-shape Aikin,"Athens, GA",1918 [],-83.3667,33.95
1918-Popula-EMU,Round,"Dallas, TX",1918,-96.8,32.7833
1918-Reviva-EMU,Seven-shape Aikin,"Fort Worth, TX",1918,-97.3167,32.7167
1918-Rodehe-EMU,,Chicago;Philadelphia,1918,-87.65;-75.15,41.85;39.95
1918-Temple-EMU,,"Dallas, TX",1918,-96.8,32.7833
1918-Tribut-EMU,Seven-shape Aikin,"Dayton, Virginia",1918,-78.9333,38.4
1918-Worldr-EMU,,"Atlanta, GA",1918,-84.3833,33.7333
1919-Founda-EMU,,"Philadelphia, PA",1919,-75.15,39.95
1919-Hampto-EMU,,New York,1919,-74,40.7
1919-Highwa-EMU,Round;Seven-shape Aikin,"Atlanta, GA",1919,-84.3833,33.7333
1919-Hymnal-EMU,,"Baltimore, Maryland",1919,-76.6,39.2833
1919-Reviva-EMU,,"Atlanta, GA",1919,-84.3833,33.7333
1919-Sacred-EMU,Nil,"Cincinnati, OH; New York, NY; London, England",1919,-84.45;-74;-.093145,39.15;40.7;51.514248
191x-Canaan-EMU,Round,"Kansas City, MO",[1914],-94.5667,39.0833
191x-Confer-EMU,Round,"Philadelphia, PA",[1917],-75.15,39.95
191x-Diadem-EMU,,"Nashville, TN; Dallas, TX; Richmond, VA",191,-86.761;-96.8;-77.45,36.154;32.7833;37.55
191x-Favori-EMU,Round,"Richmond, VA",191,-77.45,37.55
191x-Gospel-EMU,,"Atlanta, GA",191(x),-84.3833,33.7333
191x-Reviva-EMU,Round,"Atlanta, GA",191x,-84.3833,33.7333
1920-Songs1-EMU,Round,"Wheeling, WV",1920,-80.7167,40.05
1920-Songs2-EMU,Round;Seven-shape Aikin,"Kansas City, MO",1920,-94.5667,39.0833
1921-Church-EMU,Seven-shape Aikin,"Waco, TX;Memphis, TN",1921,-97.1333;-90.0333,31.5333;35.1333
1921-Gospel-EMU,Round,"Nashville, TN",1921,-86.761,36.154
1921-Greats-EMU,Round,"Louisville, KY",1921,-85.75,38.25
1921-Kingdo-EMU,Round,"Nashville, TN",1921,-86.761,36.154
1921-Reviva-EMU,Round,"Baltimore, MD",1921,-76.6,39.2833
1921-Songsa-EMU,Round,"Chicago, IL",1921,-87.65,41.85
1922-Hymnso-EMU,Round;Seven-shape Aikin,"Chicago, IL",1922,-87.65,41.85
1922-Junior-EMU,Round,"Nashville, TN;Dallas, TX;Richmond, VA",1922,-86.761;-96.8;-77.45,36.154;32.7833;37.55
1922-Marchi-EMU,,"Dalton, GA;Dallas, TX",1922,-84.9667;-96.8,34.7667;32.7833
1922-Reviva-EMU,,"Dallas, TX",1922,-96.8,32.7833
1922-Songso-EMU,Seven-shape Aikin,"Fort Smith, AR",1922,-94.3833,35.3833
1922-Tellin-EMU,Seven-shape Aikin,"Hudson, NC",1922,-81.4833,35.8333
1922-Victo1-EMU,Round,"Nashville, TN",1922,-86.761,36.154
1923-Bright-EMU,Seven-shape Aikin,"Dayton, VA",1923,-78.9333,38.4
1923-Chapel-EMU,Round,"Nashville, TN",1923,-86.761,36.154
1923-Choice-EMU,,"Nashville, TN",1923,-86.761,36.154
1923-Crownb-EMU,,"Waco, TX;Memphis, TN",1923,-97.1333;-90.0333,31.5333;35.1333
1923-Evange-EMU,,"Cincinnati, OH",1923,-84.45,39.15
1923-Gospel-EMU,,"Dalton, GA;Dallas, TX",1923,-84.9667;-96.8,34.7667;32.7833
1923-Hosann-EMU,Round,"Dallas, TX",1923,-96.8,32.7833
